funding_rounds,founder_experience_years,team_size,market_size_billion,product_traction_users,burn_rate_million,revenue_million,investor_type,sector,founder_background,outcome
4,13,58,48.22548291,594843,18.51921133,1483962.446,tier2_vc,Health,academic,IPO
1,6,221,31.53264676,393020,14.29814934,862056.8206,tier2_vc,Fintech,first_time,Failure
3,5,247,4.969722274,27636,20.44756693,97261.68596,none,SaaS,first_time,Failure
3,14,229,3.084209155,235376,8.177417255,1145785.438,none,Ecommerce,ex_bigtech,Acquisition
1,17,235,13.81818765,391765,4.879791681,860894.9419,none,Health,first_time,Acquisition
2,9,184,30.55367337,551576,36.87890904,1973636.249,angel,Ecommerce,academic,Acquisition
1,15,148,9.393695501,325934,22.19638542,1554667.59,tier1_vc,Health,first_time,Acquisition
1,7,31,8.533003583,205696,4.849757496,102912.9484,tier2_vc,Climate,first_time,Failure
2,24,238,44.13674364,83347,20.86699304,179309.3526,none,Crypto,first_time,Failure
2,23,173,13.23891101,194574,36.5689335,121504.4551,none,Climate,ex_bigtech,Acquisition
1,24,36,7.364337907,114349,3.121876273,380513.2248,tier2_vc,Health,academic,Failure
0,2,3,3.001269994,350746,86.17872488,1649294.827,tier2_vc,Crypto,ex_bigtech,Acquisition
4,20,91,182.1335889,386217,12.93154444,1585512.258,none,Fintech,serial_founder,Acquisition
2,2,294,14.20846935,20342,8.480568673,57851.64832,tier2_vc,Health,ex_bigtech,Failure
1,2,256,6.518648631,210769,25.33479447,811061.4631,none,Crypto,serial_founder,Failure
3,14,283,17.40658731,193982,26.34581091,442561.3011,angel,Crypto,first_time,Failure
2,5,254,8.490802919,150150,5.627369928,699236.5187,angel,Ecommerce,first_time,Failure
6,10,146,11.31510578,92870,10.18648204,268550.4553,none,Health,serial_founder,Acquisition
1,14,242,59.41292107,57468,18.17363104,208599.274,angel,Ecommerce,serial_founder,Failure
1,4,147,5.496415498,290906,18.85816563,1422997.091,tier1_vc,AI,ex_bigtech,Failure
2,16,47,2.488073992,333690,15.80106527,915835.4471,tier1_vc,Fintech,ex_bigtech,Acquisition
2,3,109,11.84986838,320281,7.229725147,643569.9901,tier1_vc,AI,first_time,Acquisition
1,12,144,7.792862908,287985,22.90217985,561950.9738,none,Fintech,ex_bigtech,Failure
